ID,Nome,Sexo,Idade,Estado,Email,Telefone,Saldo
1,Usuario 001,M,19,SP,usuario001@email.com,+5511910000001,1150.00
2,Usuario 002,F,20,RJ,usuario002@email.com,+5511910000002,1524.50
3,Usuario 003,M,21,MG,usuario003@email.com,+5511910000003,1705.50
4,Usuario 004,F,22,PR,usuario004@email.com,+5511910000004,2070.00
5,Usuario 005,M,23,SC,usuario005@email.com,+5511910000005,2100.00
6,Usuario 006,F,24,RS,usuario006@email.com,+5511910000006,2664.25
7,Usuario 007,M,25,BA,usuario007@email.com,+5511910000007,2605.75
8,Usuario 008,F,26,GO,usuario008@email.com,+5511910000008,3090.00
9,Usuario 009,M,27,PE,usuario009@email.com,+5511910000009,3090.00
10,Usuario 010,F,28,ES,usuario010@email.com,+5511910000010,3690.00
11,Usuario 011,M,29,SP,usuario011@email.com,+5511910000011,3670.00
12,Usuario 012,F,30,RJ,usuario012@email.com,+5511910000012,4060.00
13,Usuario 013,M,31,MG,usuario013@email.com,+5511910000013,4030.00
14,Usuario 014,F,32,PR,usuario014@email.com,+5511910000014,4755.00
15,Usuario 015,M,33,SC,usuario015@email.com,+5511910000015,4685.00
16,Usuario 016,F,34,RS,usuario016@email.com,+5511910000016,5040.00
17,Usuario 017,M,35,BA,usuario017@email.com,+5511910000017,5225.00
18,Usuario 018,F,36,GO,usuario018@email.com,+5511910000018,5470.00
19,Usuario 019,M,37,PE,usuario019@email.com,+5511910000019,5820.00
20,Usuario 020,F,38,ES,usuario020@email.com,+5511910000020,5895.00
21,Usuario 021,M,39,SP,usuario021@email.com,+5511910000021,6325.00
22,Usuario 022,F,40,RJ,usuario022@email.com,+5511910000022,6455.00
23,Usuario 023,M,41,MG,usuario023@email.com,+5511910000023,6840.00
24,Usuario 024,F,42,PR,usuario024@email.com,+5511910000024,6830.00
25,Usuario 025,M,43,SC,usuario025@email.com,+5511910000025,7395.00
26,Usuario 026,F,44,RS,usuario026@email.com,+5511910000026,7415.00
27,Usuario 027,M,45,BA,usuario027@email.com,+5511910000027,7800.00
28,Usuario 028,F,46,GO,usuario028@email.com,+5511910000028,7925.00
29,Usuario 029,M,47,PE,usuario029@email.com,+5511910000029,8335.00
30,Usuario 030,F,48,ES,usuario030@email.com,+5511910000030,8370.00
31,Usuario 031,M,49,SP,usuario031@email.com,+5511910000031,8915.00
32,Usuario 032,F,50,RJ,usuario032@email.com,+5511910000032,8910.00
33,Usuario 033,M,51,MG,usuario033@email.com,+5511910000033,9315.00
34,Usuario 034,F,52,PR,usuario034@email.com,+5511910000034,9390.00
35,Usuario 035,M,53,SC,usuario035@email.com,+5511910000035,9815.00
36,Usuario 036,F,54,RS,usuario036@email.com,+5511910000036,10125.00
37,Usuario 037,M,55,BA,usuario037@email.com,+5511910000037,10250.00
38,Usuario 038,F,56,GO,usuario038@email.com,+5511910000038,10500.00
39,Usuario 039,M,57,PE,usuario039@email.com,+5511910000039,10750.00
40,Usuario 040,F,58,ES,usuario040@email.com,+5511910000040,11000.00
41,Usuario 041,M,59,SP,usuario041@email.com,+5511910000041,11250.00
42,Usuario 042,F,60,RJ,usuario042@email.com,+5511910000042,11500.00
43,Usuario 043,M,61,MG,usuario043@email.com,+5511910000043,11750.00
44,Usuario 044,F,62,PR,usuario044@email.com,+5511910000044,12000.00
45,Usuario 045,M,63,SC,usuario045@email.com,+5511910000045,12250.00
46,Usuario 046,F,64,RS,usuario046@email.com,+5511910000046,12500.00
47,Usuario 047,M,65,BA,usuario047@email.com,+5511910000047,12750.00
48,Usuario 048,F,66,GO,usuario048@email.com,+5511910000048,13000.00
49,Usuario 049,M,67,PE,usuario049@email.com,+5511910000049,13250.00
50,Usuario 050,F,68,ES,usuario050@email.com,+5511910000050,13500.00
51,Usuario 051,M,69,SP,usuario051@email.com,+5511910000051,13750.00
52,Usuario 052,F,70,RJ,usuario052@email.com,+5511910000052,14000.00
53,Usuario 053,M,18,MG,usuario053@email.com,+5511910000053,14250.00
54,Usuario 054,F,19,PR,usuario054@email.com,+5511910000054,14500.00
55,Usuario 055,M,20,SC,usuario055@email.com,+5511910000055,14750.00
56,Usuario 056,F,21,RS,usuario056@email.com,+5511910000056,15000.00
57,Usuario 057,M,22,BA,usuario057@email.com,+5511910000057,15250.00
58,Usuario 058,F,23,GO,usuario058@email.com,+5511910000058,15500.00
59,Usuario 059,M,24,PE,usuario059@email.com,+5511910000059,15750.00
60,Usuario 060,F,25,ES,usuario060@email.com,+5511910000060,16000.00
61,Usuario 061,M,26,SP,usuario061@email.com,+5511910000061,16250.00
62,Usuario 062,F,27,RJ,usuario062@email.com,+5511910000062,16500.00
63,Usuario 063,M,28,MG,usuario063@email.com,+5511910000063,16750.00
64,Usuario 064,F,29,PR,usuario064@email.com,+5511910000064,17000.00
65,Usuario 065,M,30,SC,usuario065@email.com,+5511910000065,17250.00
66,Usuario 066,F,31,RS,usuario066@email.com,+5511910000066,17500.00
67,Usuario 067,M,32,BA,usuario067@email.com,+5511910000067,17750.00
68,Usuario 068,F,33,GO,usuario068@email.com,+5511910000068,18000.00
69,Usuario 069,M,34,PE,usuario069@email.com,+5511910000069,18250.00
70,Usuario 070,F,35,ES,usuario070@email.com,+5511910000070,18500.00
71,Usuario 071,M,36,SP,usuario071@email.com,+5511910000071,18750.00
72,Usuario 072,F,37,RJ,usuario072@email.com,+5511910000072,19000.00
73,Usuario 073,M,38,MG,usuario073@email.com,+5511910000073,19250.00
74,Usuario 074,F,39,PR,usuario074@email.com,+5511910000074,19500.00
75,Usuario 075,M,40,SC,usuario075@email.com,+5511910000075,19750.00
76,Usuario 076,F,41,RS,usuario076@email.com,+5511910000076,20000.00
77,Usuario 077,M,42,BA,usuario077@email.com,+5511910000077,20250.00
78,Usuario 078,F,43,GO,usuario078@email.com,+5511910000078,20500.00
79,Usuario 079,M,44,PE,usuario079@email.com,+5511910000079,20750.00
80,Usuario 080,F,45,ES,usuario080@email.com,+5511910000080,21000.00
81,Usuario 081,M,46,SP,usuario081@email.com,+5511910000081,21250.00
82,Usuario 082,F,47,RJ,usuario082@email.com,+5511910000082,21500.00
83,Usuario 083,M,48,MG,usuario083@email.com,+5511910000083,21750.00
84,Usuario 084,F,49,PR,usuario084@email.com,+5511910000084,22000.00
85,Usuario 085,M,50,SC,usuario085@email.com,+5511910000085,22250.00
86,Usuario 086,F,51,RS,usuario086@email.com,+5511910000086,22500.00
87,Usuario 087,M,52,BA,usuario087@email.com,+5511910000087,22750.00
88,Usuario 088,F,53,GO,usuario088@email.com,+5511910000088,23000.00
89,Usuario 089,M,54,PE,usuario089@email.com,+5511910000089,23250.00
90,Usuario 090,F,55,ES,usuario090@email.com,+5511910000090,23500.00
91,Usuario 091,M,56,SP,usuario091@email.com,+5511910000091,23750.00
92,Usuario 092,F,57,RJ,usuario092@email.com,+5511910000092,24000.00
93,Usuario 093,M,58,MG,usuario093@email.com,+5511910000093,24250.00
94,Usuario 094,F,59,PR,usuario094@email.com,+5511910000094,24500.00
95,Usuario 095,M,60,SC,usuario095@email.com,+5511910000095,24750.00
